service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
132788,1,1,1,1,1,1,0,20150729,20151029
135516,0,0,0,0,0,1,1,20150729,20151029
132183,0,0,0,0,0,0,1,20150729,20151029
135517,0,0,0,0,0,1,1,20150729,20151029
132182,1,1,1,1,1,0,0,20150729,20151029
135518,0,0,0,0,0,1,1,20150729,20151029
26656,1,1,1,1,1,0,0,20150729,20151029
26949,0,0,0,0,0,0,1,20150729,20151029
36384,0,0,0,0,0,1,0,20150729,20151029
36479,1,1,1,1,1,0,0,20150729,20151029
42664,1,1,1,1,1,0,0,20150729,20151029
38501,0,0,0,0,0,1,0,20150729,20151029
38504,0,0,0,0,0,0,1,20150729,20151029
40064,1,1,1,1,1,0,0,20150729,20151029
40074,1,1,1,1,1,1,1,20150729,20151029
42666,1,1,1,1,1,0,0,20150729,20151029
42665,1,1,1,1,1,0,0,20150729,20151029
41883,0,0,0,0,1,1,0,20150729,20151029
41882,1,1,1,1,0,0,0,20150729,20151029
41987,1,1,1,0,0,0,0,20150729,20151029
41886,0,0,0,0,0,0,1,20150729,20151029
41994,0,0,0,1,0,0,0,20150729,20151029
41989,0,0,0,1,0,0,0,20150729,20151029
41998,0,0,0,0,0,0,1,20150729,20151029
41996,0,0,0,0,1,1,0,20150729,20151029
42085,0,0,0,0,0,1,0,20150729,20151029
42083,0,0,0,0,1,0,0,20150729,20151029
42653,1,0,0,0,0,0,0,20150729,20151029
42138,0,0,0,0,1,1,0,20150729,20151029
42652,0,1,0,0,0,0,0,20150729,20151029
42651,1,0,0,0,0,0,0,20150729,20151029
36489,0,0,0,0,0,1,0,20150729,20151029
16092,1,1,1,1,1,0,0,20150729,20151029
40450,0,0,1,1,1,0,0,20150729,20151029
16233,0,0,0,0,0,0,1,20150729,20151029
40622,1,1,1,1,1,1,1,20150729,20151029
132829,0,0,0,0,1,1,1,20150729,20151029
38274,1,1,1,1,1,1,1,20150729,20151029
39389,0,0,0,0,0,0,1,20150729,20151029
36238,1,1,1,1,1,0,0,20150729,20151029
38253,1,1,1,1,1,1,1,20150729,20151029
132830,0,0,0,0,1,1,1,20150729,20151029
132831,0,0,0,0,1,1,1,20150729,20151029
38824,0,0,0,0,0,1,0,20150729,20151029
38827,0,0,0,0,0,0,1,20150729,20151029
38742,1,1,1,1,1,0,0,20150729,20151029
38754,1,1,1,1,1,0,0,20150729,20151029
14741,1,1,1,1,1,0,0,20150729,20151029
38881,1,1,1,1,1,0,0,20150729,20151029
38835,0,0,0,0,0,0,1,20150729,20151029
38832,0,0,0,0,0,1,0,20150729,20151029
42571,1,1,1,1,1,0,0,20150729,20151029
28960,0,0,0,0,0,0,1,20150729,20151029
16203,0,0,0,0,0,1,0,20150729,20151029
