stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_direction
Balderas,,Balderas,Parent station metro,19.42726839,-99.14896131,,,1,,,
Bellas_Artes,,Bellas Artes,Parent station metro,19.43674867,-99.14109707,,,1,,,
Candelaria,,Candelaria,Parent station metro,19.42930209,-99.11932826,,,1,,,
Centro_medico,,Centro Médico,Parent station metro,19.40698057,-99.15514112,,,1,,,
Chabacano,,Chabacano,Parent station metro,19.40902464,-99.13561463,,,1,,,
El_Rosario,,El Rosario,Parent station metro,19.50468285,-99.19991255,,,1,,,
Garibaldi,,Garibaldi,Parent station metro,19.44364858,-99.13913369,,,1,,,
Guerrero,,Guerrero,Parent station metro,19.44507507,-99.14563537,,,1,,,
Hidalgo,,Hidalgo,Parent station metro,19.43734559,-99.14692283,,,1,,,
Mixcoac,,Mixcoac,Parent station metro,19.37592163,-99.18756366,,,1,,,
Oceanía,,Oceanía,Parent station metro,19.44531787,-99.08680916,,,1,,,
Salto_del_Agua,,Salto del Agua,Parent station metro,19.42678273,-99.14243817,,,1,,,
STOP_132131,,Mixcoac,"Metro. Línea 12, correspondencia con línea 7.",19.37567873,-99.18686628,,,0,Mixcoac,0,
STOP_14050,,Revolución,Metro. Línea 2,19.43880248,-99.15389657,,,0,,0,
STOP_14051,,Morelos,"Metro. Línea B, correspondencia con línea 4.",19.438426,-99.11933,,,0,,0,
STOP_14052,,Gómez Farías,Metro. Línea 1,19.41608763,-99.09070373,,,0,,0,
STOP_14053,,Blvd. Puerto Aéreo,Metro. Línea 1,19.41958866,-99.09606814,,,0,,0,
STOP_14054,,Tacubaya,"Metro. Línea 1, correspondencia con línea 7 y línea 9.",19.40268995,-99.18685555,,,0,Tacubaya,0,
STOP_14055,,Observatorio,Metro. Línea 1,19.397486,-99.200669,,,0,,0,
STOP_14056,,Viaducto,Metro. Línea 2,19.40074699,-99.13663387,,,0,,0,
STOP_14057,,Xola,Metro. Línea 2,19.3950293,-99.13758874,,,0,,0,
STOP_14058,,Centro Médico,"Metro. Línea 3, correspondencia con línea 9.",19.40749665,-99.15531278,,,0,Centro_medico,0,
STOP_14059,,Etiopía / Plaza de la Transparencia,Metro. Línea 3,19.39604129,-99.15617108,,,0,,0,
STOP_14060,,Aragón,Metro. Línea 5,19.45101356,-99.09598231,,,0,,0,
STOP_14061,,Oceanía,"Metro. Línea 5, correspondencia con línea B.",19.444387,-99.086543,,,0,Oceanía,0,
STOP_14062,,Tacubaya,"Metro. Línea 7, correspondencia con línea 1 y línea 9.",19.400604,-99.186417,,,0,Tacubaya,0,
